"","x"
"323",205
"324",205.2
"325",141.6
"326",148.1
"327",184.9
"328",132.5
"329",137.3
"330",135.5
"331",121.7
"332",166.1
"333",146.8
"334",162.8
"335",186.8
"336",185.5
"337",151.5
"338",158.1
"339",143
"340",151.2
"341",147.6
"342",130.7
"343",137.5
"344",146.1
"345",133.6
"346",167.9
"347",181.9
"348",202
"349",166.5
"350",151.3
"351",146.2
"352",148.3
"353",144.7
"354",123.6
"355",151.6
"356",133.9
"357",137.4
"358",181.6
"359",182
"360",190
"361",161.2
"362",155.5
"363",141.9
"364",164.6
"365",136.2
"366",126.8
"367",152.5
"368",126.6
"369",150.1
"370",186.3
"371",147.5
"372",200.4
"373",177.2
"374",127.4
"375",177.1
"376",154.4
"377",135.2
"378",126.4
"379",147.3
"380",140.6
"381",152.3
"382",151.2
"383",172.2
"384",215.3
"385",154.1
"386",159.3
"387",160.4
"388",151.9
"389",148.4
"390",139.6
"391",148.2
"392",153.5
"393",145.1
"394",183.7
"395",210.5
"396",203.3
"397",153.3
"398",144.3
"399",169.6
"400",143.7
"401",160.1
"402",135.6
"403",141.8
"404",159.9
"405",145.7
"406",183.5
"407",198.2
"408",186.8
"409",172
"410",150.6
"411",163.3
"412",153.7
"413",152.9
"414",135.5
"415",148.5
"416",148.4
"417",133.6
"418",194.1
"419",208.6
"420",197.3
"421",164.4
"422",148.1
"423",152
"424",144.1
"425",155
"426",124.5
"427",153
"428",146
"429",138
"430",190
"431",192
"432",192
"433",147
"434",133
"435",163
"436",150
"437",129
"438",131
"439",145
"440",137
"441",138
"442",168
"443",176
"444",188
"445",139
"446",143
"447",150
"448",154
"449",137
"450",129
"451",128
"452",140
"453",143
"454",151
"455",177
"456",184
"457",151
"458",134
"459",164
"460",126
"461",131
"462",125
"463",127
"464",143
"465",143
"466",160
"467",190
"468",182
"469",138
"470",136
"471",152
"472",127
"473",151
"474",130
"475",119
"476",153
